productName,description,productCategory,price
청도 아삭한 오이,신선한 청도산 오이로 아삭한 식감이 일품입니다.,VEGETABLE,7800
고당도 해남 고구마,해남에서 자란 달달한 고구마로 깊은 풍미가 느껴집니다.,VEGETABLE,12000
밀양 특·상급 쪽파,엄선된 밀양의 쪽파로 향긋함이 가득합니다.,VEGETABLE,6500
제주 햇출하 무,신선한 제주산 무로 아삭한 식감이 매력적입니다.,VEGETABLE,4500
완도 산지 선별 배추,완도에서 직접 선별한 배추로 신선함이 가득합니다.,VEGETABLE,9000
고창 아삭한 청경채,신선한 청경채에 대한 상세 설명입니다.,VEGETABLE,15800
햇출하 쫀득한 수세미 호박,자연 그대로의 수세미 호박에 대한 상세 설명입니다.,VEGETABLE,21000
제주 특·상급 무,신선한 제주산 무에 대한 상세 설명입니다.,VEGETABLE,12500
밀양 고당도 방울토마토,달콤한 방울토마토에 대한 상세 설명입니다.,VEGETABLE,18000
완도 엄선한 파프리카,신선한 파프리카에 대한 상세 설명입니다.,VEGETABLE,22000
특·상급 완도 전복,신선한 바다의 맛을 담은 전복입니다.,ETC,35000
고창 아삭한 배추,아삭한 식감과 신선함을 자랑하는 배추입니다.,ETC,12000
밀양 엄선된 한우,부드럽고 진한 풍미의 한우입니다.,ETC,85000
햇출하 성주 참외,달달하고 아삭한 성주 참외입니다.,ETC,18000
청도 특·상급 포도,풍부한 당도를 자랑하는 청도 포도입니다.,ETC,22000
제주산 엄선한 고등어,신선한 제주산 고등어에 대한 상세 설명입니다.,ETC,19850
산지 선별 특·상급 한우,엄선된 한우의 품질에 대한 상세 설명입니다.,ETC,52800
신선한 동해안 오징어,동해에서 잡은 신선한 오징어에 대한 상세 설명입니다.,ETC,17400
달콤한 제주산 흑돼지,제주 흑돼지의 풍미에 대한 상세 설명입니다.,ETC,47500
고창산 아삭한 무,아삭한 식감의 고창산 무에 대한 상세 설명입니다.,ETC,8500
아삭한 해남 청경채,신선한 해남 청경채에 대한 상세 설명입니다.,VEGETABLE,15800
특·상급 성주 고구마,고소한 맛이 일품인 성주 고구마에 대한 상세 설명입니다.,VEGETABLE,12000
고당도 논산 배추,신선하고 달콤한 논산 배추에 대한 상세 설명입니다.,VEGETABLE,9500
엄선된 제주 애호박,부드러운 식감의 제주 애호박에 대한 상세 설명입니다.,VEGETABLE,8900
쫀득한 태안 무,아삭하고 쫀득한 태안 무에 대한 상세 설명입니다.,VEGETABLE,6500
엄선된 제주 천혜향,제주에서 자란 신선한 천혜향의 풍부한 과즙을 즐겨보세요.,FRUIT,26900
특급 아삭한 영주 사과,영주에서 자생한 과즙이 풍부한 사과로 상큼한 맛을 선사합니다.,FRUIT,32000
고당도 밀양 복숭아,밀양에서 자란 달콤하고 신선한 복숭아를 만나보세요.,FRUIT,29500
산지 선별 고창 수박,고창의 햇수박으로 여름의 시원함을 가득 담았습니다.,FRUIT,24800
신선한 해남 참외,해남에서 조심스럽게 재배된 달고 아삭한 참외를 경험해보세요.,FRUIT,21500
햇출하 아삭한 청상추,신선한 청상추에 대한 상세 설명입니다.,VEGETABLE,15800
제주산 특·상급 방울토마토,신선한 방울토마토에 대한 상세 설명입니다.,VEGETABLE,22000
고창산 고당도 생양파,달콤한 생양파에 대한 상세 설명입니다.,VEGETABLE,13450
신선한 산지 선별 무,산지에서 직송된 무에 대한 상세 설명입니다.,VEGETABLE,8500
밀양산 쫀득한 가지,신선한 가지에 대한 상세 설명입니다.,VEGETABLE,14200
아삭한 청도 오이,신선하고 아삭한 식감의 청도산 오이입니다.,VEGETABLE,12000
엄선된 영주 배추,"영주에서 자란 특·상급 배추로, 신선함이 뛰어납니다.",VEGETABLE,15000
달달한 제주 고구마,제주에서 자생한 달달한 맛의 고구마입니다.,VEGETABLE,18000
